movie_id,overview
862,"Каждый ребёнок верит, что когда он оставляет свои игрушки одни, они начинают заниматься своими делами. Долгое время любимцем мальчика Энди был ковбой Вуди, пока на свой День рождения Энди не получил особенный подарок - электронного астрорейнджера Базза Лайтера. Вскоре Вуди начинает понимать, что Энди без ума от новой игрушки, и хочет, чтобы парень не брал Базза с собой. Поэтому, воспользовавшись моментом, бывший любимчик выбрасывает популярного новичка из окна. Чувствуя себя виноватым, ковбой решает вернуть космонавта домой до того, как семья Энди переедет в новый дом."
8844,"Случайно обнаружив настольную игру со странным названием «Джуманджи» Алан Пэрриш, не зная о её сверхъестественных свойствах, на глазах изумлённой подружки переносится в джунгли. Долгие годы он находится в потустороннем мире, до тех пор, пока двое ни о чем не подозревающих подростков не находят игру и не снимают волшебные чары, освобождая Алана из многолетнего плена. Теперь им предстоит решить нелегкую задачу — победить могущественную силу игры, пройти немыслимые препятствия и одержать победу над силами Магии!"
15602,"Лето пришло в городок Вадасу в Миннесоте и все растаяло. Растаял лед на реке, растаяла даже многолетняя воина между соседями Джоном Густафсоном и Максом Голдманом. После того, как Джон женился на Ариэль, Макс остался один. Пока в городке не появилась жизнерадостная особа.  Она собирается превратить их любимый магазинчик, где они всю жизнь покупали всякие наживки и приманки для рыбной ловли, в итальянский ресторан. Приятели объявили ей войну и начали планомерную кампанию всяческих интриг и сплетен, которые быстро охватили весь городок.  Но они не учли характера Марии, которая вовсе не собирается сдаваться без боя и готовит сокрушительное «контрнаступление»."
31357,В центре сюжета — судьбы четырех разных афроамериканских женщин и их взаимоотношения с мужчинами.
11862,"Он еще слишком молод, чтобы стать дедушкой, но уже достаточно стар, чтобы заводить второго ребенка. И именно в тот момент, когда муж и отец скорбит об ушедшей молодости, его жена и дочь, как будто сговорившись, вдруг объявляют, что они беременны!  В довершении всего, к ним приезжает экстравагантный устроитель торжеств, который переворачивает их дом вверх дном… и это в то время, когда семья в тишине и покое ждет пополнения."
949,Нил МакКоли - один из лучших преступников Лос-Анджелеса. Ему противостоит лучший детектив Винсент Ханна. Две сильнейшие команды сходятся друг против друга в смертельной схватке.
11860,"В семье Лэраби предстоит важное событие — свадьба младшего брата. Приданное невесты позволит братьям стать монополистами на рынке коммуникаций. Но все эти планы рушатся, когда из Парижа возвращается красавица Сабрина — дочь шофера семьи, ставшая супермоделью."
45325,"От их проделок в ужас приходит вся округа. Кошки и собаки разбегаются, хозяйки запирают окна и двери, малыши плачут. Нет, это не монстры из страшной сказки вышли на улицу города. Просто нам предстоят новые встречи с Томом Сойером и Геком Финном, любимыми героями из романа Марка Твена."
9091,"Во время проведения решающего хоккейного матча кубка Стенли гигантский стадион оказывается в заложниках у группы террористов, возглавляемых бывшим сотрудником службы безопасности. В случае отказа или задержки выполнения их требований (перевод значительной суммы на различные банковские счета) преступники грозятся взорвать здание. На их беду, среди персонала спорткомплекса оказывается мужественный пожарный, а среди зрителей подвергающихся смертельной опасности, — его дети..."
710,"Джеймс Бонд отправляется в Россию на поиски террористов, захвативших управление новым секретным оружейным комплексом «Золотой глаз». Разработанное для уничтожения любого компьютерного оборудования, в руках негодяев это оружие превращается в мощнейший инструмент давления на правительства экономически развитых государств. Во время этой чрезвычайно опасной миссии Бонду приходится полетать на вертолёте-невидимке, взорвать бронепоезд, совершить увлекательную поездку на танке по Санкт-Петербургу и, конечно, соблазнить парочку длинноногих красоток."
